Ministerio,Creacion,Trabajadores,Presupuesto 2018,Orden Llamado,X,Nombre,Sexo,Partido,Periodo
Interior y Seguridad Pública,1812,"4,217",3270614019,1,0,Andrés Chadwick Piñera,Masculino,UDI,marzo-2018
Relaciones Exteriores,1812,"1,725",93525339,2,-1,Roberto Ampuero Espinosa,Masculino,Evópoli,marzo-2018
Defensa Nacional,1812,"5,360",1785462028,3,1,Alberto Espina Otero,Masculino,RN,marzo-2018
Hacienda,1817,"9,880",500945726,4,-2,Felipe Larraín Bascuñán,Masculino,ind.,marzo-2018
Secretaría General de la Presidencia,1990,124,13615976,5,2,Gonzalo Blumel Mac Iver,Masculino,Evópoli,marzo-2018
Secretaría General de Gobierno,1976,429,29226126,6,-3,Cecilia Pérez Jara,Femenino,RN,marzo-2018
"Economía, Fomento y Turismo",1941,"4,371",1323592528,7,3,José Ramón Valente Vias,Masculino,ind.,marzo-2018
Desarrollo Social,1967,"2,712",619108248,8,4,Alfredo Moreno Charme,Masculino,ind.,marzo-2018
Educación,1927,"18,034",11062790470,9,-4,Gerardo Varela Alfonso,Masculino,ind.,marzo-2018
Justicia y Derechos Humanos,1837,"28,157",1198429503,10,5,Hernán Larraín Fernández,Masculino,UDI,marzo-2018
Trabajo y Previsión Social,1959,"7,676",7578312644,11,-5,Nicolás Monckeberg Díaz,Masculino,RN,marzo-2018
Obras Públicas,1887,"8,466",2404576184,12,6,Juan Andrés Fontaine Talavera,Masculino,ind.,marzo-2018
Salud,1924,"18,034",8174283789,13,-6,Emilio Santelices Cuevas,Masculino,ind.,marzo-2018
Vivienda y Urbanismo,1965,"3,864",2517900271,14,7,Cristián Monckeberg Bruner,Masculino,RN,marzo-2018
Agricultura,1924,"6,458",586372116,15,-7,Antonio Walker Prieto,Masculino,ind.,marzo-2018
Minería,1953,819,48132932,16,8,Baldo Prokurica Prokurica,Masculino,RN,marzo-2018
Transporte y Telecomunicaciones,1974,896,1060267149,17,-8,Gloria Hutt Hesse,Femenino,Evópoli,marzo-2018
Bienes Nacionales,1871,539,41761113,18,9,Felipe Ward Edwards,Masculino,UDI,marzo-2018
Energía,2010,931,139984549,19,-9,Susana Jiménez Schuster,Femenino,ind.,marzo-2018
Medio Ambiente,2010,855,53923799,20,10,Marcela Cubillos Sigall,Femenino,UDI,marzo-2018
Deporte,2013,643,121767536,21,-10,Pauline Kantor Pupkin,Femenino,ind.,marzo-2018
Mujer y la Equidad de Género,2015,507,52845168,22,11,Isabel Plá Jarufe,Femenino,UDI,marzo-2018
"Culturas, las Artes y el Patrimonio",2017,232,84937594,23,-11,Alejandra Pérez Lecaros,Femenino,ind.,marzo-2018
